id,plot,NDVI_d28,SAVI_d28,GNDVI_d28,MCARI1_d28,SR_d28,NDVI_d01,SAVI_d01,GNDVI_d01,MCARI1_d01,SR_d01,NDVI_d04,SAVI_d04,GNDVI_d04,MCARI1_d04,SR_d04,NDVI_d08,SAVI_d08,GNDVI_d08,MCARI1_d08,SR_d08,Class
45,192,0.701884761,1.052777776,0.578258242,12266.63881,5.926147401,0.715134376,1.072675294,0.622891525,23560.19835,6.274387107,0.715288104,1.072887467,0.60071614,14133.23253,6.312278089,0.728208513,1.092274129,0.627083795,16626.70244,6.648723495,0
46,21,0.77793719,1.166863212,0.670603888,17315.57673,8.797762483,0.765304266,1.147932994,0.699105391,30874.50847,8.1300762,0.777302417,1.165920939,0.678815174,23387.23253,8.498030892,0.782553223,1.173795619,0.707182922,22071.41814,8.726001007,0
47,204,0.806580088,1.2098232,0.701055721,16738.86385,10.19252279,0.767114135,1.150646263,0.712295419,29115.38152,8.159012686,0.713840449,1.070709808,0.652280973,12230.34404,6.192203026,0.693266288,1.039851758,0.648329295,11894.57992,5.614734628,1
48,201,0.759035955,1.138509011,0.654482262,15471.32166,8.139571001,0.746984129,1.120448239,0.692698335,23975.59679,7.337673552,0.731696567,1.097497824,0.666404825,13938.39389,6.783317743,0.722034254,1.083009568,0.660867922,14820.38775,6.383786715,0
49,202,0.799376831,1.199019764,0.693381659,17129.30271,10.07298268,0.774230286,1.161318651,0.714616456,27768.22957,8.436597391,0.728377191,1.092513882,0.666507887,12879.56336,6.660573848,0.70996394,1.064901049,0.65137853,13678.63166,6.070063257,1
50,193,0.669378068,1.004017706,0.567407814,11005.3558,5.170459348,0.666991205,1.000460635,0.61093507,20085.95433,5.113230541,0.673823028,1.01068619,0.594704784,11221.62231,5.266137979,0.720294894,1.080400433,0.621676376,15088.01072,6.391030353,0
51,212,0.772776462,1.159118645,0.671734791,15510.5387,8.434671887,0.75024893,1.125347986,0.692026849,26273.90734,7.437576898,0.714278156,1.071367673,0.64922803,12721.45865,6.220414641,0.692005319,1.037965273,0.636876484,13341.31745,5.626204563,1
52,213,0.777000836,1.165453909,0.679471275,15193.9005,8.591364906,0.74799839,1.121972095,0.699221979,26081.59794,7.407293458,0.709927574,1.064841111,0.652394267,12231.59724,6.150553367,0.689648061,1.034426538,0.639722012,12401.97802,5.586493128,1
53,214,0.780902593,1.171305119,0.690097265,15093.28902,9.031313776,0.738434041,1.107624845,0.709252681,25493.51936,7.108987684,0.687455654,1.031123913,0.655160868,9431.856566,5.534781081,0.689673225,1.034461164,0.654741815,11536.11861,5.528515783,1
54,233,0.802962561,1.204397069,0.672949358,16879.81159,9.978516822,0.777284808,1.165900977,0.705299061,28675.52232,8.430752257,0.720483331,1.080674353,0.648477648,12770.43751,6.381091912,0.689120885,1.033634468,0.632751841,12155.99181,5.533900944,1
